status,error,t,Delta,N,h,Pmax,alpha,beta,lam,kernel,weight_mode,det,dev,nprimes,t_sieve,t_total
ok,,700.0,3.0,801,0.0075,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9989687119965411,0.0010312880034588634,2262,0.0001037000329233706,0.03054900001734495
ok,,700.0,3.0,801,0.0075,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9991176680608885,0.0008823319391114692,2262,0.00012129999231547117,0.030274299962911755
ok,,700.0,5.0,801,0.0125,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9945254587998583,0.0054745412001416804,2262,9.259994840249419e-05,0.031999099999666214
ok,,700.0,5.0,801,0.0125,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9943052385847653,0.005694761415234728,2262,0.00010140001541003585,0.032760499976575375
ok,,700.0,3.0,1201,0.005,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9989685989299063,0.001031401070093696,2262,0.00011299998732283711,0.06370659999083728
ok,,700.0,3.0,1201,0.005,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9991178433800783,0.0008821566199217479,2262,0.00023750000400468707,0.06576859997585416
ok,,700.0,7.0,801,0.0175,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9926195723281127,0.007380427671887291,2262,0.00017710000975057483,0.03967420000117272
ok,,700.0,7.0,801,0.0175,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9922135848511393,0.0077864151488606925,2262,0.0001588000450283289,0.04134300001896918
ok,,700.0,5.0,1201,0.008333333333333333,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9943082607645938,0.0056917392354062235,2262,9.059999138116837e-05,0.07013339997502044
ok,,700.0,5.0,1201,0.008333333333333333,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9945252979446431,0.005474702055356939,2262,8.490000618621707e-05,0.07341660000383854
ok,,1000.0,3.0,801,0.0075,20000,1.0,1.0,0.1,fejer,logp_over_p,0.999592316934884,0.0004076830651159602,2262,0.0001707999617792666,0.042737799987662584
ok,,1000.0,3.0,801,0.0075,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9996198561401144,0.0003801438598856066,2262,0.0001647999742999673,0.039260499994270504
ok,,700.0,7.0,1201,0.011666666666666667,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9922136055609535,0.007786394439046496,2262,0.00013639999087899923,0.07659239997155964
ok,,700.0,7.0,1201,0.011666666666666667,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9926196376468908,0.007380362353109238,2262,0.0001666999887675047,0.07762259995797649
ok,,1000.0,5.0,801,0.0125,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9988020816023976,0.0011979183976024155,2262,0.00016920000780373812,0.04265059996396303
ok,,1000.0,5.0,801,0.0125,20000,1.0,1.0,0.1,gauss,logp_over_p,0.998774384122415,0.0012256158775849624,2262,0.00012059998698532581,0.03901680000126362
ok,,1000.0,3.0,1201,0.005,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9995924379786311,0.0004075620213689346,2262,0.0006738000083714724,0.07672999997157604
ok,,1000.0,7.0,801,0.0175,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9961004824171964,0.003899517582803602,2262,0.00013679999392479658,0.041156599996611476
ok,,1000.0,3.0,1201,0.005,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9996198885383554,0.0003801114616446277,2262,0.00014830002328380942,0.07818429998587817
ok,,1000.0,7.0,801,0.0175,20000,1.0,1.0,0.1,gauss,logp_over_p,0.996398082160814,0.003601917839185953,2262,0.00013800000306218863,0.040559599990956485
ok,,1000.0,5.0,1201,0.008333333333333333,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9988023268357388,0.001197673164261226,2262,0.00012009998317807913,0.08162509999237955
ok,,1000.0,5.0,1201,0.008333333333333333,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9987744427656684,0.001225557234331598,2262,0.0001558999647386372,0.08030119998147711
ok,,1500.0,3.0,801,0.0075,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9955327109526579,0.00446728904734206,2262,0.00010720000136643648,0.045823599968571216
ok,,1500.0,3.0,801,0.0075,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9948905307923477,0.005109469207652317,2262,0.00018089998047798872,0.04341939999721944
ok,,1000.0,7.0,1201,0.011666666666666667,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9960989641093695,0.003901035890630511,2262,0.00014429999282583594,0.0822941999649629
ok,,1000.0,7.0,1201,0.011666666666666667,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9963980537873973,0.0036019462126026802,2262,0.00025430001551285386,0.08154940005624667
ok,,1500.0,5.0,801,0.0125,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9921009188901165,0.007899081109883466,2262,0.0001509999856352806,0.04060750000644475
ok,,1500.0,5.0,801,0.0125,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9916940543492553,0.008305945650744717,2262,0.00018440000712871552,0.043001300015021116
ok,,1500.0,3.0,1201,0.005,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9955320156040321,0.00446798439596785,2262,0.00013909995323047042,0.08290159999160096
ok,,1500.0,3.0,1201,0.005,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9948899163547013,0.005110083645298746,2262,0.00015320000238716602,0.08584069996140897
ok,,1500.0,7.0,801,0.0175,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9847360046016868,0.015263995398313246,2262,0.00016389996744692326,0.04190979996928945
ok,,1500.0,7.0,801,0.0175,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9840528996922657,0.015947100307734274,2262,0.00014970003394410014,0.04381510004168376
ok,,1500.0,5.0,1201,0.008333333333333333,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9921040953771112,0.007895904622888805,2262,0.00016659998800605536,0.08231229998636991
ok,,3000.0,3.0,801,0.0075,20000,1.0,1.0,0.1,fejer,logp_over_p,0.99868186397899,0.0013181360210100523,2262,0.00014540000120177865,0.04573820001678541
ok,,1500.0,5.0,1201,0.008333333333333333,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9916940411196354,0.008305958880364561,2262,0.00012820004485547543,0.08607110002776608
ok,,3000.0,3.0,801,0.0075,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9990428363590061,0.0009571636409938522,2262,0.0002201999886892736,0.04417090001516044
ok,,1500.0,7.0,1201,0.011666666666666667,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9847336424452773,0.01526635755472272,2262,0.00014379998901858926,0.08572659996571019
ok,,1500.0,7.0,1201,0.011666666666666667,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9840528936772764,0.01594710632272356,2262,0.0001651000347919762,0.08317800000077114
ok,,3000.0,5.0,801,0.0125,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9953895800609505,0.004610419939049537,2262,0.00021729996660724282,0.04170399997383356
ok,,3000.0,5.0,801,0.0125,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9952115994845812,0.004788400515418845,2262,0.00010820000898092985,0.03926260001026094
ok,,3000.0,3.0,1201,0.005,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9986816712082036,0.001318328791796386,2262,0.000152900000102818,0.07984059996670112
ok,,3000.0,3.0,1201,0.005,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9990429039857575,0.0009570960142425422,2262,0.00022170000011101365,0.07861219998449087
ok,,3000.0,7.0,801,0.0175,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9852620049464976,0.014737995053502373,2262,0.00015750003512948751,0.036672100017312914
ok,,3000.0,7.0,801,0.0175,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9847793677162435,0.015220632283756474,2262,0.00034959998447448015,0.037411400000564754
ok,,3000.0,5.0,1201,0.008333333333333333,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9953868252247069,0.004613174775293105,2262,0.0001259999698959291,0.07745709997834638
ok,,3000.0,5.0,1201,0.008333333333333333,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9952116373486454,0.004788362651354627,2262,0.0001914000022225082,0.07032180001260713
ok,,3000.0,7.0,1201,0.011666666666666667,20000,1.0,1.0,0.1,gauss,logp_over_p,0.9847793266257565,0.015220673374243487,2262,0.00012749998131766915,0.055664699990302324
ok,,3000.0,7.0,1201,0.011666666666666667,20000,1.0,1.0,0.1,fejer,logp_over_p,0.9852622216799027,0.014737778320097261,2262,0.00017800001660361886,0.061976200027856976
